row_i,question_text,answer_yes_no,gpt_yes_no,manual_yes_no
37202,"SO YOU ARE REFERRING TO THE AREA TO THE -- TO THE LEFT OF THE PHOTOGRAPH, AND THAT BEING PHOTOGRAPH E ON 1321 PEOPLE'S 9 FOR IDENTIFICATION?",yes,no,yes
128736,CAN YOU STATE ON AN AVERAGE THE AMOUNT OF MONEY THAT THE DEFENDANT CONTRIBUTED TO THE HOUSEHOLD PER MONTH APPROXIMATELY?,yes,no,no
88223,"SO THEN FOR A SIX-MONTH PERIOD FROM OCTOBER OF '93 AND THEN MARCH OF '94, THAT'S WHEN YOU WERE THERE?",yes,no,yes
82695,WHERE DID THIS OCCUR?,no,no,no
44557,ARE YOU LICENSED TO PRACTICE IN CALIFORNIA?,yes,yes,yes
124376,WHAT IS THAT?,no,no,no
78037,WHY WOULD YOU PLACE A PLASTIC TENT IN ANY 17 PARTICULAR AREA?,no,no,no
96185,"NOW, THIS PARTICULAR DOCUMENT REFLECTS THAT THE MONEY, THE AMOUNT ADVANCED WAS 500?",yes,yes,yes
92874,WOULD CALVIN COOKSEY EVER VISIT YOU IN THE NICKERSON GARDENS RESIDENCE?,yes,no,yes
62486,RED PICKUP?,yes,yes,yes
81088,HAVE YOU SEEN THOSE?,yes,no,yes
101982,"ARNOLD, YES. 9 28 ALL RIGHT. NOW, WHEN THE AUTOPSY WAS PERFORMED ON OFFICER BURRELL -- YOU HAVE THE REPORT WITH YOU?",yes,no,yes
34298,"WHEN HE SHOWED YOU SOME PHOTOGRAPHS, DID HE ASK YOU WHETHER THE PERSON'S PICTURE WAS -- WHETHER THE PERSON'S PICTURE THAT WAS WITHIN THE PHOTOGRAPHS, WHETHER THAT PERSON WAS OR WAS NOT PRESENT IN YOUR APARTMENT THAT NIGHT THAT SHOT CARLOS ADKINS?",yes,no,yes
57335,DOES IT LOOK DIFFERENT?,yes,yes,yes
131528,"THROUGH ALL OF THIS, HAS HE BEEN ABLE TO PROVIDE THINGS TO YOU? AND I DON'T MEAN --",no,yes,yes
85524,"NOW, AFTER PHILLIP SAID WHAT HE SAID, DID YOU 15 AND PHILLIP THEN GO SOME PLACE?",no,no,yes
44841,"LET ME ASK YOU THIS  IN YOUR EXPERIENCE, A BULLET WOUND THAT COMES FROM STRAIGHT ON, WOULD YOU SAY THAT THEY ARE GENERALLY ROUND OR MORE ROUND IN SHAPE?",no,no,yes
79974,DID YOU HEAR WHAT WAS SAID?,yes,yes,yes
61407,"AND WHAT I AM REFERRING TO, WAS HE IN THE 13 STREET? WAS HE ON THE SIDEWALK?",no,yes,yes
63713,BY MR. ARNOLD: SO IT'S YOUR TESTIMONY TODAY THAT YOU ARE NOT SURE; IS THAT CORRECT?,yes,no,yes
52388,DO YOU REMEMBER SAYING THAT?,yes,no,yes
75748,"ON APRIL THE 6TH OF 1993, THE FIRST TIME THE POLICE INTERVIEWED YOU, DID YOU TELL THE DETECTIVES THAT THE DEFENDANT TOLD YOU THAT IT WAS A GUN?",no,yes,yes
81835,WHAT DO YOU SEE ON HIS FACE?,no,no,no
99890,"OF THAT 2,000 CAN YOU ESTIMATE THE NUMBER THAT INVOLVE GUNSHOT WOUNDS?",no,no,no
107640,BY MR. JAFFE: ALL RIGHT. DO YOU SEE ALL OF THESE COMPUTERIZED NOTATIONS?,yes,no,yes
92415,WHAT DID HE SAY TO YOU?,no,no,no
42103,"AFTER SPEAKING WITH JANICE CHAPPELL, WHERE WAS THE FOCUS OF YOUR INVESTIGATION AS TO WHERE THE SHOOTING OCCURRED?",no,no,no
92030,DO YOU RECOGNIZE HER?,yes,yes,yes
132247,HAVE YOU SPOKEN TO HIM SINCE THAT DAY THAT YOU SAW HIM AT COUNTY JAIL?,yes,yes,yes
97151,HAVE YOU READ THAT?,no,no,yes
53219,I JUST ASKING YOU THE SIMPLE QUESTION DID HE 10 USE IT ON THAT EVENING?,yes,no,yes
62110,AND WHO IS DESHON?,no,no,no
47798,"NOW, BETWEEN YOUR INVENTORY THAT YOU TOOK ON EITHER DECEMBER 30TH OR 31ST OF 1992 AND YOUR LEAVING THE STORE ON FEBRUARY 8TH OF 1993, IN THAT PERIOD OF TIME, WERE YOU BURGLARIZED?",yes,no,yes
61101,HAVE YOU EVER SEEN -- HAVE YOU EVER BEEN STOPPED BEFORE BY THE POLICE?,yes,yes,yes
133172,OF WHAT?,no,no,no
81992,YOU KNOW THE DIFFERENCE BETWEEN A SEMI-AUTOMATIC AND A REVOLVER?,yes,no,yes
89094,"NOW, IS PART OF YOUR PERSONAL EXPENSES GOING TO LAS VEGAS AND GAMBLING?",yes,yes,yes
129030,DO YOU KNOW WHAT THEIR NAMES ARE?,yes,yes,yes
81121,IS THIS THE GUN THAT THE DEFENDANT GAVE YOU?,yes,yes,yes
56654,HEAD. THEY ARE SHOOTING HIM IN HIS HEAD?,yes,no,yes
57501,ALL RIGHT. AND THE NEXT THING YOU NOTICED WAS A TRUCK?,yes,no,yes
93377,DID THEY ASK YOU TO SIGN A RECEIPT?,no,yes,yes
62125,WHAT WAS EVERYBODY DOING MOMENTS BEFORE YOU GOT IN THE CAR?,no,no,no
72406,WHAT INFORMATION HAD YOU RECEIVED OVER THE RADIO?,no,no,no
39988,THE DETECTIVES MEET YOU AT THE PAROLE OFFICE ON FEBRUARY 1ST; RIGHT?,yes,no,yes
48335,HOW LONG HAS THE HAWAIIAN GARDENS POLICE DEPARTMENT BEEN IN EXISTENCE?,no,no,no
90892,"BY MR. ARNOLD: NOW, YOU MENTIONED THAT YOU HAVE GOT BETWEEN EIGHT AND TEN THOUSAND DOLLARS SINCE JUNE OF 1993 FROM THE REWARD FUND; IS THAT CORRECT?",yes,yes,yes
87140,"ON MARCH THE 22ND OF 1992, YOU WERE ARRESTED IN HOLLYWOOD WITH A GUN; ISN'T THAT TRUE?",yes,yes,yes
94758,DID HE ASK FOR ANY ASSISTANCE ON THE FELON IN 19 POSSESSION OF A FIREARM CASE THAT HE HAD PICKED UP?,yes,yes,yes
39180,"AND BASED UPON YOUR EXPERIENCE, IF SOMEBODY IS UNDER THE INFLUENCE OF PCP, SOMETIMES YOU JUST DON'T KNOW WHETHER THEY'RE UNDER THE INFLUENCE OR NOT; RIGHT?",no,yes,yes
58743,BY MR. JAFFE: DID YOU HEAR THAT?,yes,yes,yes
33948,WHAT IS THE NEXT THING THAT HAPPENED?,no,no,no
131620,CAN YOU TELL US APPROXIMATELY HOW MUCH MONEY IS DEVOTED TOWARDS COCAINE THAT YOU USE?,no,no,no
39515,"DO YOU REMEMBER WHEN YOU GOT OUT OF PRISON, DID YOU REPORT TO MR. JOHNSON?",yes,no,yes
69134,WHY DO YOU HAVE A INQUISITIVE LOOK?,no,no,no
98085,"BY MR. ARNOLD: NOW, DETECTIVE DUVAL, WHILE AWAITING THE ARRIVAL OF REGIS THOMAS, HAD YOU KNOCKED ON THE DOOR OR WHAT?",yes,no,yes
87729,WERE YOU SUCCESSFUL IN LOCATING ROBERT ROJAS ON APRIL 1ST?,yes,yes,yes
57447,"WHEN YOU SAY A RIGHT TURN, WAS -- WOULD THIS BE A RIGHT TURN ONTO ANOTHER STREET?",yes,no,yes
33846,IS THAT YES?,yes,no,yes
57010,DO THOSE TIRES STICK OUT FROM THE BODY?,no,yes,yes
85887,"DID IT, WAS THAT THE FIRST MENTION BY THE DEFENDANT OF ANY INVOLVEMENT IN THE KILLING OF THOSE OFFICERS?",yes,yes,yes
92501,WHAT HAPPENED NEXT?,no,no,no
37819,DO YOU KNOW WHAT THAT LOCATION THAT IS?,yes,no,yes
58326,THAT WAS A MISTAKE?,no,no,yes
125154,DID YOU OR YOUR TWO PARTNERS TELL THIS SUBJECT THAT HE WAS UNDER ARREST?,yes,yes,yes
127183,BY MR. ARNOLD: WHERE DID KEVIN FIT IN IN THE AGES OF YOUR KIDS?,no,no,no
128646,AND DO YOU KNOW KAWASCI JACKSON?,yes,yes,yes
127480,. WHAT SON GOT MARRIED?,no,no,no
100746,IS THAT CONSISTENT WITH DRIED BLOOD?,yes,no,yes
95475,IS IT DETECTIVE BRANDENBURG?,no,yes,yes
95314,AND DID HE GIVE YOU THE NAMES OF ANYONE THAT HE HAD TOLD THIS STATEMENT TO?,no,no,yes
135011,"WHEN THAT PHASE OF THE TRIAL ENDED, YOU WERE CONTACTED AND ORDERED TO SPEAK AT THIS PHASE OF THE TRIAL?",yes,no,yes
59312,"WHEN YOU TURNED AROUND, WERE YOU TO THE 1 LEFT OF DWIGHT AVENUE OR TO THE RIGHT OF DWIGHT AVENUE WHEN YOU TURNED AROUND?",no,no,no
129052,YOU TALKED ABOUT IT WITH WHO?,no,no,no
128440,DO YOU HAVE OTHER CHILDREN THAT ARE NOT SHOWN IN THE PHOTOGRAPH?,yes,no,yes
41889,IS THAT THE ENVELOPE IN WHICH THE SHELL CASING THAT WAS FOUND BY YOUR PARTNER THAT NIGHT WAS BOOKED INTO EVIDENCE?,yes,no,yes
105254,"NOW, YOU MENTIONED THAT THE DRUG PCP, IT STANDS FOR PHENCYCLIDINE?",yes,no,yes
37879,DID ANYBODY TAKE YOU AROUND TO ASSIST YOU IN CASHING THE CHECK?,yes,yes,yes
41397,HOW DID YOU GAIN ENTRANCE INTO THE APARTMENT?,no,no,no
99442,DID YOU NOTICE ANY GREASE ON THE WEAPON?,yes,yes,yes
52443,YOU DO NOT KNOW OR DO YOU HOW LONG THE POLICE HAD BEEN THERE WITH THAT PERSON BEFORE YOU MADE YOUR RIGHT TURN ON ROSECRANS?,yes,no,yes
102820,DO YOU HAVE THE WHITE PAPER WITH YOU?,yes,yes,yes
126047,SO IS HE THE OLDER OR YOUNGER BROTHER OF JOHN?,no,no,no
74170,DO YOU KNOW WHICH WAY IT TURNED WHEN IT WENT ON IMPERIAL?,no,no,yes
86181,"AND THESE HEAD SHOTS THAT YOU HAVE DESCRIBED THE DEFENDANT SAYING, DID HE STATE WHERE THE OFFICERS WERE WHEN THESE HEAD SHOTS WERE ADMINISTERED?",yes,no,yes
61549,"DO YOU  BASED ON YOUR MEDICAL TRAINING, DO YOU HAVE SOME INFORMATION ABOUT THERE BEING A PULSE OR BEING ABLE TO DETECT A PULSE IN THE AREA OF THE NECK?",yes,yes,yes
52792,DID YOU EVER TELL THE ARTIST WHEN YOU SAW THE COMPLETED DRAWING THAT THE RENDERING IS INACCURATE BECAUSE I DO NOT REMEMBER A HOOD ON THE JACKET?,no,yes,yes
57136,".  NOW, WHEN IN THOSE SHOTS, IF YOU KNOW, DID YOUR MOTHER SPEED UP, OR DO YOU NOT KNOW?",no,no,no
134243,AND HOW LONG HAVE YOU BEEN TREATED FOR THIS CANCER?,no,no,no
65378,WHERE WERE YOU WHEN THAT OCCURRED?,no,no,no
98302,LET ME ASK YOU THIS: DID COOKSEY EVER TELL YOU WHETHER REGIS THOMAS HAD ADMITTED USING ANY TYPE OF WEAPON?,yes,no,yes
39176,DID HE SEEM TO YOU -- CAN YOU TELL WHEN SOMEONE IS UNDER THE INFLUENCE OF PCP?,no,no,yes
58317,IS THAT WHAT YOU DID?,yes,yes,yes
99699,BOTTOM SIGNATURE IS DORNEAL PIRTLE?,yes,yes,yes
109213,"IN THIS CASE, EVEN THOUGH YOU DID NOT HAVE THE ROOT AND THE TIP OF THAT ONE HAIR, YOU WERE ABLE TO FIND THAT THE CHARACTERISTICS OF THAT HAIR WERE DIFFERENT THAN THE CHARACTERISTICS OF THE HAIR OF OFFICERS MACDONALD AND BURRELL, THOUGH?",no,yes,yes
77290,WAS THE DEFENDANT IN COURT AT THE PRELIMINARY HEARING?,yes,yes,yes
39815,DO YOU KNOW WHETHER IT WAS THE RIGHT SIDE OR LEFT SIDE OF HIS HEAD?,no,yes,yes
35729,".  NOW, DO YOU REMEMBER AT THE PRELIMINARY HEARING YOU WERE ASKED A NUMBER OF QUESTIONS; CORRECT?",yes,no,yes
54614,"THE SKIN COLORING OF THE PERSON THAT YOU SAW DOING THE SHOOTING, WAS THE SKIN COLORING THE SAME SIMILAR TO OR DIFFERENT THAN THE SKIN COLORING OF MR. THOMAS?",no,no,yes
67028,BY MR. JAFFE: BUT YOU DO HAVE A MEMORY TODAY THAT YOU DID SEE THE POLICE OFFICERS AFTER SHOTS WERE '25 24 FIRED?,yes,no,yes
76916,THE ONE HE GAVE YOU IS A LITTLE LIGHTER?,no,no,yes
35780,"MRS. CHAPPELL, NOW HAVING LOOKED AT THE PHOTO IDENTIFICATION REPORT, IS YOUR MEMORY REFRESHED AS TO WHICH PHOTOGRAPH YOU SELECTED ON CARD B?",no,no,yes
56975,2030 THE TRUCK DOORS WAS OPEN?,yes,no,yes
49167,"ALL RIGHT. DEPUTY VAN HORN, NOW, WITH WHAT KNOWLEDGE I HAVE OF HANDGUNS, THERE ARE TWO TYPES, A SEMI-AUTOMATIC PISTOL AND A REVOLVER?",no,no,yes
40172,DID YOU ATTEMPT TO ASSIST CARLOS WHEN YOU SAW HIM TUSSLING WITH THE OTHER PERSON FOR THE GUN?,yes,yes,yes
44623,"AND THE LATTER NUMBERS, 01101, DOES THAT MEAN THAT WAS THE 1,101ST AUTOPSY PERFORMED IN 1992?",no,no,yes
127911,HOW?,no,no,no
129251,HOW OLD ARE YOU WHEN YOU MET REGGIE THOMAS?,no,no,no
52582,"AND LOOKING AT THIS RENDERING, SEE THIS RENDERING?",yes,no,yes
85270,DID YOU EVER GO TO MR. THOMAS' RESIDENCE IN NICKERSON GARDENS?,no,yes,yes
77102,"BY MR. ARNOLD: NOW, YOU MENTIONED THAT -- OR 10 IN RESPONSE TO MR. JAFFE'S QUESTIONS YOU SAID THAT YOU ARE 11 BETTER ABLE TO ASSOCIATE THE DEFENDANT GIVING YOU A GUN 12 WITH VALENTINE'S DAY AS COMPARED TO THE KILLING OF -- OR 13 AROUND THE TIME OF THE KILLING OF THE TWO OFFICERS; IS 14 THAT CORRECT?",yes,no,yes
89640,"AND AFTER YOU WERE ARRESTED ON THE 22ND OF MARCH, 1993, THREE DAYS LATER YOU CALLED DETECTIVE LARRY BRANDENBURG BECAUSE YOU WANTED TO GIVE HIM SOME INFORMATION; RIGHT?",no,yes,yes
37452,SO YOUR PAROLE OFFICER SUGGESTED THAT YOU GO AHEAD AND GIVE THE INFORMATION TO THE POLICE?,yes,no,yes
73097,BASED UPON YOUR OBSERVATION YOU THOUGHT THAT THE EXISTENCE OF THAT TIRE MARK OR SKID MARK MAY HAVE SOME EVIDENTIARY VALUE AT SOME POINT IN THE FUTURE?,no,no,yes
47111,DO YOU HAVE ANY RECOLLECTION WHETHER HE EVER MENTIONED THE NAME OF REGGIE TO YOU OR REGIS?,no,no,yes
129450,HAVE YOU EVER SEEN REGGIE DO ANYTHING KIND FOR ANYONE IN THE NEIGHBORHOOD?,no,yes,yes
82542,"DO YOU REMEMBER TELLING THE DETECTIVES THAT YOU HAD ASKED THE DEFENDANT WHETHER HE, IN FACT, KILLED THE OFFICERS?",yes,no,yes
30999,ANY ACTIVITY BETWEEN THE 10TH OF MARCH AND THE 24TH OF MARCH?,no,no,yes
106211,THAT'S THE LOCATION WHERE YOU WERE AT GRANDEE AND 137TH; CORRECT?,no,no,yes
74106,WAS THERE AN OPEN GAS PUMP?,yes,yes,yes
86552,BLUE CAR?,yes,no,yes
38407,YOU ALREADY GOT IT?,no,no,yes
79935,WHAT OCCURRED AT 139TH AND KORNBLUM?,no,no,no
71381,WERE THEIR HEADLIGHTS ON?,yes,no,yes
46768,"WHEN YOU SPOKE WITH BERTRAND DICKSON, YOU MENTIONED THAT HE DESCRIBED THIS INCIDENT TO YOU, THAT HE SAW SOMETHING?",no,no,yes
48123,AND 25 RELATES TO THE GLOCK; IS THAT RIGHT?,yes,no,yes
86812,CAN YOU TELL US IF THAT APPEARS TO BE THE FEMALE THAT YOU RECEIVED THE GUN FROM AT THE RESIDENCE THERE AT 108TH AND KALMIA?,yes,no,yes
98440,DO YOU RECALL IT BEING A POLICE CAR OR AN 25 UNDERCOVER VEHICLE?,no,yes,no
92678,"WOULD YOU CHARACTERIZE HIM AS BEING SLENDER, MEDIUM, BIG OR WHAT?",no,no,no
34775,ARE YOU ALSO SAYING THAT HIS BUILD IS SIMILAR TO THE EXTENT THAT IT IS NOT DIFFERENT THAN THOUSANDS OF OTHER YOUNG AFRICAN AMERICAN MEN?,no,no,yes
60198,"NOW, BASED ON YOUR COMMUNICATIONS WITH THE AUTHORITIES IN PHOENIX, HAVE YOU BEEN GIVEN ANY INFORMATION BY EITHER MR. CORE OR INVESTIGATOR KILL OR ANYONE ELSE THAT HAS GIVEN YOU ANY INDICATION WHATSOEVER AS TO THE WHEREABOUTS OF CALVIN COOKSEY?",yes,no,yes
105256,IS THAT -- IS THAT THE CHEMICAL NAME FOR IT?,yes,no,yes
98820,"BUT ON THIS PARTICULAR OCCASION, WAS THAT IN RESPONSE TO A CONVERSATION THAT YOU TWO HAD SET UP A MUTUAL TIME TO MEET ON SUCCESS?",no,no,yes
65510,HE TOLD YOU TO LEAVE?,yes,no,yes
78836,AND WHAT IS YOUR CURRENT ROLE?,no,no,no
112213,"DETECTIVE BUMCROT, THE FIRST TIME THAT YOU INTERVIEWED DE'MORYEA POLIDORE THAT WOULD BE ON FEBRUARY -- WAS THAT ON FEBRUARY 27TH?",yes,no,yes
38275,YOU JUST WHAT?,no,no,no
58616,"(2  WHEN THE MAN DROVE BY IN THE CAR, YOU COULDN'T SEE IN BECAUSE THE WINDOWS WERE TINTED; RIGHT?",yes,no,yes
75447,"SO THIS CAMERA CAN GET YOUR VOICE, TO THE BEST OF YOUR KNOWLEDGE, WHEN HE GAVE YOU THIS GUN, WAS IT BEFORE THE OFFICERS WERE KILLED OR AFTER THE OFFICERS WERE KILLED?",no,no,yes
131344,"THE RELATIONSHIP THAT YOU HAD WITH REGIS, THE RELATIONSHIP THAT YOU STILL HAVE WITH YOUR SON, YOU WANT THAT ALWAYS TO CONTINUE; CORRECT?",yes,no,yes
57183,YOU STOPPED LOOKING?,yes,yes,yes
70783,IT'S JUST THE FACT THAT YOU'RE CALLED UPON TO TESTIFY IN THIS CASE; RIGHT?,yes,no,yes
106809,"HAVE YOU EVER SEEN ANYTHING THAT LOOKS LIKE THAT? IT'S DEFENSE KR, A COMPUTERIZED LOG.",yes,no,yes
46682,WHAT IS THE NATURE OF THE ADVICE THAT HE WAS ATTEMPTING TO GET FROM YOU?,no,no,no
91926,"WHEN YOU WERE ARRESTED ON THE 22ND OF MARCH, BEFORE YOU CONTACTED DEPUTY BRANDENBURG DID YOU CALL A FRIEND OF YOURS TO TRY TO BAIL YOU OUT?",yes,no,yes
59406,THE CURB IS UP HERE?,yes,no,yes
127609,HAS THE PAIN GONE DOWN? HAS THE PAIN NOT YET. THEY ALWAYS TOLD ME IN TIME IT 4576,no,no,yes
74963,HOW DID YOU MEET HIM?,no,no,no
101099,IS PHOTOGRAPH C A CLOSEUP OF THE LARGE GUNSHOT WOUND TO THE BACK?,no,no,yes
57231,"OKAY. WELL, TO SEE THE TRUCK COMING, DIDN'T YOU TURN BACK AROUND?",yes,no,yes
129284,THAT IS A SOLID RELATIONSHIP THAT YOU NOW HAVE?,yes,no,yes
39610,DID YOU GO TO THE DOCTOR?,yes,no,yes
73015,WHAT IS IN PHOTOGRAPH B?,no,no,no
50027,TO PICK UP YOUR SON?,yes,no,yes
134867,DID YOU EVER SEE REGIS INTERACT WITH ANY OF THOSE PEOPLE?,yes,yes,yes
70163,AND SOMETIMES PEOPLE WILL HAVE TRUCKS AND 15 THEY WILL LOWER THEM?,yes,no,yes
66505,OKAY. AND IS THAT THE KIND OF LETTERING THAT YOU SAW THE NIGHT OF FEBRUARY 22ND ON THE RED TRUCK?,no,no,yes
108752,AND WAS THAT AT THE REQUEST OF THE LOS ANGELES COUNTY SHERIFF'S DEPARTMENT?,yes,no,yes
76078,DARK?,yes,no,yes
88485,"QUESTION: HAVE YOU RECEIVED ANY MONEY -- YOU KNOW WHAT MONEY MEANS, DON'T YOU?",no,no,yes
40169,SO DID CARLOS HAVE TWO HANDS ON THE GUN OR ONE HAND?,no,no,no
134275,WHO?,no,no,no
125126,WHO LAID HANDS ON HIM?,no,no,no
65930,WAS THIS A BIG COAT?,no,yes,yes
34413,DO YOU RECALL US DISCUSSING WHETHER YOU DID OR DID NOT ATTEND A LIVE LINEUP AT THE COUNTY JAIL IN JUNE OF 1992?,no,no,yes
135014,"WHEN YOU HEARD THE VERDICT, WERE YOU WITH DANIEL?",no,no,yes
85279,CALVIN KLEIN?,yes,no,yes
108159,AND THAT INTERVIEW WAS VIDEO TAPED; RIGHT?,yes,no,yes
68963,I THOUGHT YESTERDAY YOU SAID YOU DID NOT SEE THE POLICE OFFICERS OR THE SUSPECT UNTIL AFTER THE SHOTS WERE FIRED; IS THAT INCORRECT?,yes,yes,yes
81436,DO YOU KNOW WHAT TIME HE LEFT?,yes,yes,yes
97224,BY MR. JAFFE: YOU WOULD HAVE REMEMBERED IF YOU RECEIVED 350?,yes,no,yes
59136,IS THIS WHERE IT WAS?,yes,yes,yes
58810,"WAS SHE PLAYING, TOO, OR WAS SHE WATCHING YOU OR WHAT?",no,no,no
73693,"AND AS CASHIER, ARE YOU IN SOME TYPE OF A ROOM OR A BUILDING OR ARE YOU OUT AMONGST THE GAS PUMPS?",no,yes,no
131553,"IF YOU NEED SOMEONE TO TALK TO, WHO DO YOU TALK TO? 1",no,no,no
66308,WAS THAT THE ARTIST WHO PREPARED SOME RENDERINGS?,no,yes,yes
58697,BY MR. JAFFE: DID YOU TELL THE DETECTIVES THAT YOU THOUGHT THE RED TRUCK MIGHT HAVE HIT THE CURB NEAR THE FIRE STATION?,yes,yes,yes
41949,"AND AFTER YOU SPOKE WITH ANDRE CHAPPELL A SECOND TIME, DID THE FOCUS OF YOUR INVESTIGATION CHANGE FROM THE OUTSIDE TO SOME PLACE ELSE AS TO WHERE THE   SHOOTING OCCURRED?",yes,no,yes
129017,BY MR. ARNOLD: SO THAT CHILD WAS BORN DURING YOUR RELATIONSHIP WITH THE DEFENDANT?,yes,yes,yes
125561,"NOW, AT SOME POINT DID YOUR SON CARLOS MOVE OUT OF THE HOUSE?",yes,yes,yes
131615,HOW LONG HAS IT BEEN SINCE YOU WERE WORKING?,no,no,no
108030,"NOW, MR. JAFFE ALSO ASKED YOU -- CAN YOU TELL US HOW FAR IS 137TH AND GRANDEE FROM ROSECRANS AND DWIGHT?",no,no,no
39699,BY MR. JAFFE: SO THE UNFINISHED BUSINESS 28 YOU'RE TALKING ABOUT? 1,no,no,no
42092,"AND BASED ON WHAT BERTRAND DICKSON TOLD YOU, YOU THEN SPOKE WITH ANDRE CHAPPELL?",yes,no,yes
80294,"WHEN YOU VISITED HIM AT THE COUNTY JAIL ON MARCH 25TH, YOU WERE AWARE THAT HE HAD A PENDING CASE?",no,no,yes
60469,"NOW, YOU SAY IT'S FROM THEIR DESCRIPTION?",no,no,yes
92724,IS THAT YES?,yes,no,yes
70943,"DO YOU NOW RECALL WAS IT SEPTEMBER OF LAST YEAR, 1994?",yes,no,yes
34101,"WHAT ABOUT BERTRAND, DID BERTRAND EVER MAKE A CHARGE TOWARD THIS INDIVIDUAL THAT YOU HAVE SAID IS REGIS?",yes,no,yes
78896,DO YOU SEE WHAT IS -- WHAT IS COVERING THE POLICE CAR?,yes,yes,no
125941,. IN THE MORNING?,yes,no,yes
132848,BY MR. JAFFE: DO YOU HAVE SOME PHYSICAL DISABILITY?,yes,yes,yes
75087,IS THAT YES?,yes,no,yes
43404,GRASSY AREA DEPICTED IN PHOTOGRAPH NUMBER FOUR?,yes,yes,yes
131354,DID YOU REFER TO HIM AS A MOMMA'S BOY?,no,yes,yes
132892,WHAT KIND OF GAMES DID YOU PLAY?,no,no,no
39112,"WHEN YOU SAW CARLOS ADKINS ON THE EVENING OF JANUARY 31ST, 1992, YOU SAW HIM IN A VAN?",yes,no,yes
55422,"LOOKING AT THE HAIR ON THE SKETCH, WOULD YOU CHARACTERIZE THAT AS THE QUO VADIS TYPE OF HAIRCUT?",no,no,yes
59410,"WHAT YOU SAID, YOU SAW THE TRUCK HIT A CURB FURTHER UP THIS WAY; RIGHT?",yes,no,yes
48003,"DIRECTING YOUR ATTENTION TO THE LOG PAGE, DO YOU SEE WHERE IT SAYS, MISSING BURGLARY, 2-9-93. DO YOU SEE THAT?",yes,no,yes
130726,"DO YOU KNOW CHERISH, THE OLDEST CHILD?",yes,yes,yes
36798,WHAT IS THE NEXT THING THAT HAPPENED AFTER ANDRE OPENED THE DOOR?,no,no,no
129340,DID SHE TELL YOU SOMETHING IN REGARD TO WHETHER SHE APPROVED OF REGGIE OR NOT?,no,yes,yes
38327,DID YOU GO BACK TO THE PRISON?,yes,yes,yes
80283,HAVE YOU STAYED IN TOUCH WITH MR. COOKSEY FOLLOWING THE COLLECT CALL THAT HE GAVE YOU ON 3-25-93?,no,yes,yes
57892,"AND THAT AFTER YOU DUCKED DOWN, YOU THEN 10 TURNED A LITTLE BIT AND YOU LOOKED TO THE RIGHT; IS THAT WHAT YOU DID?",yes,no,yes
72977,WHAT IS IN L?,no,no,no
70176,DO YOU KNOW WHAT A BED COVER IS?,yes,yes,yes
92451,WHERE DID YOU GO?,no,no,no
125011,WHAT TYPE OF VEHICLE WERE YOU IN?,no,no,no
124752,"ONCE YOU MADE THE TURN, WHAT DID YOU SEE?",no,no,no
91018,DID YOU SEE THE MAGAZINE IN IT?,no,yes,yes
47321,WHAT ABOUT GUNS?,no,no,no
74567,DID YOU SEE OTHER PEOPLE PUMP GAS FOR MR. THOMAS WHEN HE WAS IN YOUR GAS STATION?,yes,yes,yes
102669,DO THOSE ENVELOPES CONTAIN THE TWO NINE MILLIMETER BULLETS THAT YOU REMOVED FROM OFFICER MACDONALD'S VEST?,yes,yes,yes
52382,DO YOU REMEMBER THAT?,no,no,yes
73849,DO YOU RECALL WHAT KIND OF TRUCK IT WAS?,no,no,no
75182,WHAT IS THAT?,no,no,no
51748,AND WHAT HAPPENED NEXT?,no,no,no
69195,AND ARE YOU AWARE THAT CAR COMPANIES WILL MANUFACTURER IN ANY PARTICULAR YEAR A NUMBER OF CARS THAT ARE THE SAME MODEL AND THE SAME COLOR?,yes,no,yes
128467,DID YOU HAVE AN ARRANGEMENT WITH REGGIE AS TO WHO WOULD TAKE THE CHILDREN TO SCHOOL?,no,yes,yes
49073,WHAT IS YOUR ASSIGNMENT?,no,no,no
33417,"BY MR. ARNOLD: MRS. CHAPPELL, ARE YOU ABLE 1 TO SEE PHOTOGRAPHS A THROUGH H ON PEOPLE'S 9 FOR IDENTIFICATION?",yes,no,yes
53186,ALL RIGHT. DO YOU RECALL WHEN YOU SPOKE 3 DO YOU RECALL WHILE YOU WERE TRAVELING ON ROSECRANS 4 APPROACHING THE FIRE STATION THAT YOUR SON DEMORYEA SAID SOMETHING?,no,no,yes
75154,DID ANYBODY ELSE GO OUT WITH YOU?,yes,yes,yes
124676,WHAT HAPPENED AFTER THE DEFENDANT MADE THAT STATEMENT?,no,no,no
57432,IT WAS TO THE FRONT OF YOUR CAR?,yes,no,yes
75858,HOW MUCH OF THE GUN DID YOU SEE?,no,no,no
78454,AND THEN YOU COLLECT IT?,no,yes,yes
66062,"DO YOU HAVE A MEMORY TODAY OF WHAT YOU TOLD THE POLICE AS TO WHY YOU WERE AFRAID ON MARCH  ON APRIL 7, 1993?",no,yes,no
93335,YOU SAY YOU CAN'T SAY; RIGHT?,yes,no,yes
130187,"WERE THERE ANY OTHER, OTHER THAN HUNTING AND FISHING AND CAMPING, ANY OTHER ACTIVITIES THAT YOU AND REGIS DID TOGETHER?",no,yes,no
129241,WHAT DO YOU DO RIGHT NOW?,no,no,no
